i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
7	1000	cavi	0.054000000000002	-0.112971692789592	5.07884046614289	10.0488996362769	19.9525685428654	-0.233433107791128	4.95352878608774	9.92434432546381	19.827856743589	0.00748972221194483	5.20415214619803	10.1734549470899	20.0772803421418	-0.112971692789592	0.0788404661428901	0.0488996362769001	-0.0474314571346	TRUE	TRUE	TRUE	TRUE	TRUE
8	1000	gibbs	77.575	0.652746188667296	6.85062195461706	14.829855531133	19.9747248571667	-0.0704137075558391	4.83727306718244	9.86432580756616	19.813487266446	1.40484261614897	8.88163762381792	19.8862404086705	20.2301509294471	0.652746188667296	1.85062195461706	4.829855531133	-0.0252751428333013	TRUE	TRUE	TRUE	TRUE	TRUE
8	1000	cavi	0.0520000000000067	0.0345990322773907	4.95591347289736	9.96671401938131	19.9339423882221	-0.0875442762767258	4.82361454001529	9.84469456379174	19.8144390790962	0.156742340831507	5.08821240577943	10.0887334749709	20.0534456973481	0.0345990322773907	-0.0440865271026398	-0.0332859806186896	-0.0660576117779001	TRUE	TRUE	TRUE	TRUE	TRUE
9	1000	gibbs	77.494	-0.0561281435778921	4.99092562788646	9.93750708882338	19.9701905433664	-0.188721558651323	4.86291325502059	9.80973015615238	19.8467234032217	0.0777655268322641	5.1212247027835	10.064714361166	20.0874977929092	-0.0561281435778921	-0.00907437211354001	-0.0624929111766193	-0.0298094566336005	TRUE	TRUE	TRUE	TRUE	TRUE
9	1000	cavi	0.0499999999999972	-0.0560746984478265	4.99198743118368	9.93683859395859	19.9709617199775	-0.18326079414117	4.86849959785954	9.81302484300564	19.8503320588177	0.0711113972455173	5.11547526450781	10.0606523449115	20.0915913811372	-0.0560746984478265	-0.00801256881632018	-0.0631614060414094	-0.0290382800225011	TRUE	TRUE	TRUE	TRUE	TRUE
10	1000	gibbs	77.521	-0.0712222298447045	5.06200850582923	10.0230610409678	20.0089648918418	-0.199854217285561	4.92943750533537	9.89726022100894	19.8843924311617	0.0536691883104342	5.18988946681232	10.1506334501172	20.1354140481967	-0.0712222298447045	0.0620085058292297	0.0230610409678	0.00896489184179927	TRUE	TRUE	TRUE	TRUE	TRUE
10	1000	cavi	0.0499999999999972	-0.0709737145771837	5.06083654529575	10.0224292699062	20.0094884063991	-0.193743390624721	4.93551701538507	9.89908640289709	19.8860200118513	0.0517959614703541	5.18615607520644	10.1457721369153	20.132956800947	-0.0709737145771837	0.06083654529575	0.0224292699061994	0.00948840639910031	TRUE	TRUE	TRUE	TRUE	TRUE
11	1000	gibbs	77.189	-0.0159430757275891	4.90180775668384	9.99025632695919	19.9211269840412	-0.141374316444857	4.77200443483101	9.86128185714618	19.7947696229241	0.11020253256836	5.03207450573837	10.1213582474062	20.0474923037421	-0.0159430757275891	-0.0981922433161602	-0.00974367304080914	-0.0788730159587985	TRUE	TRUE	TRUE	TRUE	TRUE
11	1000	cavi	0.0529999999999973	-0.014559746687035	4.90255610116162	9.99011240079185	19.9210505424256	-0.138636038606779	4.78334267089677	9.86441802314615	19.7947958436527	0.109516545232709	5.02176953142647	10.1158067784375	20.0473052411985	-0.014559746687035	-0.0974438988383799	-0.00988759920815063	-0.0789494575743994	TRUE	TRUE	TRUE	TRUE	TRUE
12	1000	gibbs	77.614	-0.0431558845850881	4.9888882599503	10.0045463399131	19.9172839584907	-0.178304893194271	4.8530014297215	9.87808936026459	19.7988356828546	0.0958898631427732	5.11944110046622	10.1269495272971	20.0354189626239	-0.0431558845850881	-0.0111117400497003	0.00454633991309983	-0.0827160415093005	TRUE	TRUE	TRUE	TRUE	TRUE
