i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
1	10000	gibbs	795.07	0.00307126291586337	4.98844188105475	10.0068760673945	20.0128938534687	-0.0370382865420963	4.94578214084274	9.96633713295377	19.9749855474711	0.0428270115055451	5.03049285056314	10.0468798660817	20.0523019782198	0.00307126291586337	-0.0115581189452501	0.00687606739450075	0.0128938534687002	TRUE	TRUE	TRUE	TRUE	TRUE
1	10000	cavi	0.235000000000014	0.00319293355972435	4.98844044604315	10.0066397796311	20.0122198748819	-0.0355495827570901	4.94878797481446	9.96744243613983	19.9730277130253	0.0419354498765388	5.02809291727184	10.0458371231224	20.0514120367384	0.00319293355972435	-0.0115595539568503	0.00663977963110085	0.0122198748819002	TRUE	TRUE	TRUE	TRUE	TRUE
2	10000	gibbs	795.954	-0.02212497162423	5.00680846528065	9.98100499990963	19.9573187277975	-0.0621862357923287	4.96357632596278	9.93974200307467	19.9173502365002	0.0176118232889397	5.04937255505732	10.0221995749411	19.9971634776299	-0.02212497162423	0.00680846528064993	-0.0189950000903707	-0.0426812722025005	TRUE	TRUE	TRUE	FALSE	FALSE
2	10000	cavi	0.221000000000004	-0.0224552033346472	5.00700835377536	9.98110620371989	19.9568534802556	-0.0613379206021343	4.96774754572081	9.94147400974984	19.9178480223978	0.0164275139328398	5.04626916182991	10.0207383976899	19.9958589381134	-0.0224552033346472	0.00700835377536002	-0.0188937962801106	-0.0431465197444005	TRUE	TRUE	TRUE	FALSE	FALSE
3	10000	gibbs	921.213	-0.000798690830170192	4.99775831495618	10.0104508672057	20.0193002462524	-0.0408842967646874	4.95674235107781	9.96994680549853	19.9788221257079	0.0391510905781692	5.0386308820859	10.051546350883	20.0596466893156	-0.000798690830170192	-0.00224168504381961	0.0104508672056998	0.0193002462523992	TRUE	TRUE	TRUE	TRUE	TRUE
3	10000	cavi	0.238000000000056	-0.00125893656368117	4.99769356299535	10.0105365303242	20.018959080777	-0.0398171279161314	4.95907992028412	9.97087032030612	19.9789674080187	0.037299254788769	5.03630720570658	10.0502027403422	20.0589507535353	-0.00125893656368117	-0.00230643700465016	0.0105365303242007	0.0189590807770017	TRUE	TRUE	TRUE	TRUE	TRUE
4	10000	gibbs	923.186	-0.00953475516153434	4.9850908076719	10.0190550402009	19.9856230042995	-0.0499779960481448	4.94403786729493	9.97717846820211	19.9461033165859	0.0309654341477304	5.02714271150544	10.05947316479	20.024625693522	-0.00953475516153434	-0.0149091923281004	0.0190550402009002	-0.0143769957004984	TRUE	TRUE	TRUE	TRUE	TRUE
4	10000	cavi	0.211999999999989	-0.00935104606329608	4.98471832554007	10.0192820972509	19.9853242586471	-0.0484755493444878	4.9455735840142	9.98010778106604	19.9459982133062	0.0297734572178957	5.02386306706593	10.0584564134358	20.0246503039879	-0.00935104606329608	-0.0152816744599296	0.0192820972508994	-0.0146757413528995	TRUE	TRUE	TRUE	TRUE	TRUE
5	10000	gibbs	920.559	0.0320672144737942	5.05083377734805	9.97091024067576	19.9683828915715	-0.008009274296033	5.0080477712026	9.93038180932341	19.9301139501128	0.0715873918126445	5.09359422479767	10.010916755903	20.0071496899086	0.0320672144737942	0.0508337773480498	-0.0290897593242399	-0.0316171084284989	TRUE	FALSE	TRUE	TRUE	FALSE
5	10000	cavi	0.246999999999957	0.0316856350735553	5.05044406708242	9.97043808859946	19.9684697186921	-0.00754045943940219	5.01077853021429	9.93123545004497	19.9297771336902	0.0709117295865127	5.09010960395056	10.0096407271539	20.007162303694	0.0316856350735553	0.0504440670824202	-0.0295619114005401	-0.0315302813079015	TRUE	FALSE	TRUE	TRUE	FALSE
6	10000	gibbs	919.42	0.0021972555313826	4.96972069251266	9.96626708137693	19.9858539297391	-0.0381588264152677	4.92671643870652	9.92585557778041	19.9478628121104	0.0430238383458761	5.0121777690208	10.0069124210908	20.0245308517629	0.0021972555313826	-0.0302793074873398	-0.0337329186230697	-0.0141460702608995	TRUE	TRUE	TRUE	TRUE	TRUE
6	10000	cavi	0.281000000000063	0.00241569716237731	4.96984971752882	9.96594654173045	19.9858829930109	-0.0366466953859368	4.9304517055568	9.92663965236942	19.9468775351424	0.0414780897106914	5.00924772950083	10.0052534310915	20.0248884508794	0.00241569716237731	-0.0301502824711797	-0.0340534582695504	-0.0141170069890997	TRUE	TRUE	TRUE	TRUE	TRUE
7	10000	gibbs	917.385	-0.00294547469815905	5.00991556418261	9.96580860637208	19.9696674758072	-0.0444270242385025	4.96682705683912	9.92371895210849	19.9308192643775	0.0389162080081587	5.05273459504487	10.0077682818323	20.0087645466951	-0.00294547469815905	0.0099155641826103	-0.0341913936279195	-0.0303325241928007	TRUE	TRUE	TRUE	TRUE	TRUE
7	10000	cavi	0.274000000000001	-0.00254751674004119	5.01039743545506	9.96629186954185	19.9697758414047	-0.0420460809986269	4.97106722442114	9.92700674744711	19.9311058534042	0.0369510475185445	5.04972764648899	10.0055769916366	20.0084458294052	-0.00254751674004119	0.0103974354550598	-0.0337081304581499	-0.0302241585952991	TRUE	TRUE	TRUE	TRUE	TRUE
8	10000	gibbs	920.829	0.0335061883659689	4.99224225818321	10.0103048089754	19.9884459293982	-0.0074983039884482	4.95121118421085	9.97058984001559	19.9491079543991	0.0740183576135392	5.03305876202972	10.0505567946179	20.0279704996752	0.0335061883659689	-0.00775774181679001	0.0103048089754001	-0.0115540706018002	TRUE	TRUE	TRUE	TRUE	TRUE
8	10000	cavi	0.254000000000019	0.0332638566715212	4.99172337159045	10.0100979468321	19.9883279510155	-0.00635170648030282	4.95322124721511	9.97073007739921	19.9490177278637	0.0728794198233452	5.0302254959658	10.0494658162649	20.0276381741673	0.0332638566715212	-0.00827662840954968	0.0100979468321007	-0.0116720489845008	TRUE	TRUE	TRUE	TRUE	TRUE
9	10000	gibbs	919.747	0.00821873427399343	5.01536870925406	9.96888579202	19.9930528600666	-0.0320257328952664	4.97465354609392	9.92878993850081	19.9534372489376	0.0486982356105372	5.05848662580949	10.0095322547404	20.0320865786583	0.00821873427399343	0.0153687092540604	-0.03111420798	-0.00694713993339846	TRUE	TRUE	TRUE	TRUE	TRUE
9	10000	cavi	0.283999999999992	0.00872033085587607	5.01536553071873	9.96919797869533	19.9928990902904	-0.0302287333429539	4.97606697973695	9.9297223123971	19.9538472065599	0.047669395054706	5.05466408170051	10.0086736449936	20.0319509740209	0.00872033085587607	0.0153655307187304	-0.0308020213046696	-0.00710090970959953	TRUE	TRUE	TRUE	TRUE	TRUE
10	10000	gibbs	919.393	0.00698205961245938	4.95476221558041	9.98682476023774	20.0128650673817	-0.0316854113068755	4.91271876619306	9.94561029528502	19.9726503949969	0.0470691134651663	4.99602005112424	10.0278116082285	20.0522314725109	0.00698205961245938	-0.0452377844195899	-0.0131752397622602	0.0128650673816999	TRUE	FALSE	TRUE	TRUE	FALSE
10	10000	cavi	0.263000000000034	0.00701773484428839	4.95497401678576	9.98654064712325	20.0130554802677	-0.0316306859356762	4.91592016109237	9.94717803175421	19.9733275642555	0.045666155624253	4.99402787247914	10.0259032624923	20.05278339628	0.00701773484428839	-0.0450259832142397	-0.0134593528767493	0.013055480267699	TRUE	FALSE	TRUE	TRUE	FALSE
11	10000	gibbs	904.111	-0.0617152853592516	5.03450742628102	9.99620518724127	19.9941475284905	-0.100757576465971	4.99357666466028	9.95546486959876	19.9548923782127	-0.0214569950324509	5.07589583495937	10.0367616440355	20.0329272909697	-0.0617152853592516	0.0345074262810199	-0.00379481275873061	-0.00585247150949897	FALSE	TRUE	TRUE	TRUE	FALSE
11	10000	cavi	0.276000000000067	-0.0613339966527385	5.03485844819344	9.99643804858145	19.994234031036	-0.100379575601737	4.99594491531938	9.95691455120495	19.9549396109677	-0.0222884177037402	5.07377198106751	10.035961545958	20.0335284511044	-0.0613339966527385	0.0348584481934404	-0.00356195141855054	-0.00576596896399906	FALSE	TRUE	TRUE	TRUE	FALSE
12	10000	gibbs	922.589	0.0320956367978915	5.01159094970943	9.98971293086409	19.9940962688514	-0.00784185110382147	4.9699401738795	9.94926119392053	19.9542533281842	0.0720214112552204	5.05421841975567	10.0297799573342	20.0333350247096	0.0320956367978915	0.0115909497094302	-0.0102870691359094	-0.00590373114859943	TRUE	TRUE	TRUE	TRUE	TRUE
12	10000	cavi	0.227999999999952	0.0317077577680677	5.01160960574686	9.9895403685823	19.9941786168788	-0.00712304706059393	4.97204712632009	9.95044839606776	19.9548841969174	0.0705385625967293	5.05117208517362	10.0286323410968	20.0334730368401	0.0317077577680677	0.0116096057468598	-0.0104596314176995	-0.00582138312120151	TRUE	TRUE	TRUE	TRUE	TRUE
13	10000	gibbs	916.561	-0.0249394708130542	4.96493492800137	9.97928286228049	20.0170338965751	-0.0651995701649361	4.92313572605464	9.93829211685977	19.9782316503995	0.0159881038035103	5.00703363600689	10.0197455437363	20.0566156676535	-0.0249394708130542	-0.0350650719986296	-0.0207171377195099	0.0170338965751	TRUE	TRUE	TRUE	TRUE	TRUE
13	10000	cavi	0.269000000000005	-0.0245147580319783	4.96529909635676	9.97986434925446	20.0171084754174	-0.0636883319133608	4.92598471537167	9.94072810282237	19.9779632404373	0.0146588158494041	5.00461347734184	10.0190005956865	20.0562537103975	-0.0245147580319783	-0.0347009036432402	-0.0201356507455408	0.0171084754173982	TRUE	TRUE	TRUE	TRUE	TRUE
