i	n	method	time	mu_1	mu_2	mu_3	mu_4
31	100	gibbs	11.589	-0.174469264812884	4.13765675758399	9.26737645968425	19.2395676694898
31	100	cavi	0.0459999999999994	0.0990976513691539	4.74188149368099	9.59198256084369	19.3159594329239
32	100	gibbs	7.992	-0.207319776930441	4.89737805144825	9.74558563986765	18.8287198760462
32	100	cavi	0.0309999999999988	-0.0894359751233474	4.66849803132004	9.76784426384159	18.7899426963782
33	100	gibbs	7.991	-0.0969828133123619	5.03579565813835	9.19543230974949	18.627725117082
33	100	cavi	0.0329999999999995	-0.0760012678894749	5.03070863379129	9.3280427985547	19.0243402824711
34	100	gibbs	8.029	0.117678678595283	4.55417038868261	9.4659949247537	19.1380703157305
34	100	cavi	0.0299999999999994	0.0311130959098208	4.57878194243262	9.37886789486595	19.0762585204813
35	100	gibbs	7.993	-0.287511622370566	4.69781752273187	9.5432355711613	19.4757074415306
35	100	cavi	0.032	-0.197947833844441	4.59465367197484	9.54030209390243	19.2616820357133
36	100	gibbs	7.991	-0.281761090655306	4.92651468898068	9.36195900611468	19.4744495218532
36	100	cavi	0.032	0.110831004522693	4.96865468716978	9.33533863796324	19.5175500977934
37	100	gibbs	7.995	0.0752051679416255	4.78648503040366	9.84718228391789	18.9362634116438
37	100	cavi	0.0310000000000006	0.215652002751131	4.73400220303221	9.74898775592611	19.1364737937772
38	100	gibbs	7.971	-0.392952283108174	4.21169997678557	9.53928823287051	19.4532762475359
38	100	cavi	0.032	-0.293644600159721	4.28562984952291	9.67187098414124	19.1204223843665
39	100	gibbs	7.987	-0.0564874540750105	4.64588468236308	9.41333766550202	19.3864177565771
39	100	cavi	0.032	-0.198982746352581	4.42143033411185	9.09307986357242	19.3852580194151
40	100	gibbs	7.984	-0.328765283191286	4.26795112412508	9.25519049556026	19.029248722227
40	100	cavi	0.0310000000000006	-0.053510950984419	4.50027514243736	9.39205212052061	19.1275758954096
41	100	gibbs	7.944	-0.119741126406945	4.22813197714149	9.30163644822029	19.1813309474808
41	100	cavi	0.0310000000000006	-0.140598155627713	4.46456543451485	9.34422681750328	19.1793624763771
42	100	gibbs	7.956	0.271614418241229	4.64603474143269	9.26579398273974	19.6105025010398
42	100	cavi	0.0330000000000013	0.172518350275345	4.80370054058998	9.44523875650177	19.3805359213917
43	100	gibbs	7.968	0.735955513693806	4.6323727631037	9.4560079085459	19.7889869492168
43	100	cavi	0.032	0.292701848177815	4.502771088451	9.29383852022468	19.5883659131338
44	100	gibbs	7.944	0.560831346542603	4.95737040926839	9.87540187738202	18.9996695548927
44	100	cavi	0.032	0.16443703773752	4.70092973828271	9.76339017117193	18.9902964424548
45	100	gibbs	7.994	-0.525230004601663	5.33477537323083	9.40775120627087	19.5231918777695
45	100	cavi	0.0309999999999988	-0.197286296995741	5.0811001987491	9.31448480086095	19.2799867222796
46	100	gibbs	7.955	0.115036868560466	4.53786807881783	8.70014424081425	19.2453503396402
46	100	cavi	0.0330000000000013	0.014374865118818	4.46573733355116	8.88954816829117	19.1489039186564
47	100	gibbs	7.982	-0.0386419127091167	4.91237530543007	9.39528256873463	19.5530886677113
47	100	cavi	0.0310000000000006	0.157344703131465	4.81122095047971	9.50254882367083	19.597417782142
48	100	gibbs	7.991	-0.385137939527184	4.56266779305415	9.89050254588871	19.3356738416769
48	100	cavi	0.0329999999999995	-0.200138296092338	4.5439310503882	9.65542731751033	19.3646614828987
49	100	gibbs	7.989	0.266102173414232	5.06281844540973	9.4331452859883	19.2777741956844
49	100	cavi	0.032	0.254140311794736	4.84351861906118	9.64189315557519	19.2931282138772
50	100	gibbs	8.038	0.016935800868196	5.20489113971535	9.62798058441389	19.7435021373222
50	100	cavi	0.0329999999999995	-0.214383323703567	5.06261467222465	9.82207278379436	19.6684859464594
51	100	gibbs	7.76	0.05320973993626	4.69700080304189	9.40030908995646	18.8219563362317
51	100	cavi	0.0299999999999994	-0.113082028164458	4.69651488762755	9.41040269272022	18.9619019785787
52	100	gibbs	7.992	0.0976927626305373	4.39737401991088	9.94286098782091	18.8397047528682
52	100	cavi	0.0310000000000006	0.101187477051311	4.77485688857959	10.0476621174532	19.1519970416838
53	100	gibbs	8.023	-0.123558299771215	5.047366985017	9.90138171884808	18.7789656560771
53	100	cavi	0.0310000000000006	0.0359054842772922	5.03577323808617	9.63101857133918	18.8708196135578
54	100	gibbs	8.033	-0.0436398135073014	4.77111841182078	9.83143619254985	19.6571079531424
54	100	cavi	0.0300000000000011	-0.100458102851433	4.68141469462137	9.76410629615606	19.6356983914117
55	100	gibbs	8.001	-0.860499987657583	4.6588250105183	9.58951270617167	19.1070901132554
55	100	cavi	0.0309999999999988	-0.301711800591144	4.76045002992162	9.70992884503774	19.242411119425
56	100	gibbs	7.986	0.13035538375718	4.56838944113031	10.0608711465011	19.2345847114368
56	100	cavi	0.0319999999999983	0.0577990236485925	4.72788132227959	9.70291082181878	19.222543270115
57	100	gibbs	7.99	-0.395105756270172	4.86139797357781	9.39054842827375	19.0387912019037
57	100	cavi	0.032	-0.0476295380146148	4.96276933126038	9.60982062833367	19.1090784301993
58	100	gibbs	7.974	-0.0133163934085054	4.3658682302833	9.78538243887209	19.8662019031359
58	100	cavi	0.0309999999999988	0.0942276670386328	4.68155345465924	9.78504716669434	19.5653279327202
59	100	gibbs	7.92	-0.410210801491239	4.49452157060256	9.47430012252145	19.4113636872751
59	100	cavi	0.032	-0.323965622151703	4.57283073472557	9.4980329460946	19.4388777106819
60	100	gibbs	7.963	0.250607412437146	4.10867037064089	9.61656727829536	18.7579523644322
60	100	cavi	0.0329999999999995	0.0188071818348604	4.60257537833674	9.39967197417344	18.6695839440612
61	100	gibbs	7.983	-0.204759610495429	5.07612494562337	9.72320671762117	19.3334730974336
61	100	cavi	0.032	-0.0554755852065008	4.70460114341665	9.49068665570816	19.2295515785103
62	100	gibbs	7.972	0.472511731381197	4.32303074100338	9.60996509288794	19.5490494933022
62	100	cavi	0.0310000000000006	0.0173696637466082	4.77393841274231	9.59977160079087	19.3487237317503
63	100	gibbs	8.004	-0.284549431373208	4.79091179860159	9.5309886885774	19.5028645886503
63	100	cavi	0.0309999999999988	-0.178082382017832	4.74425979828754	9.68450082723105	19.5588229303179
64	100	gibbs	8.029	-0.106132230772662	5.05965694110438	10.2347496748422	18.6185857828332
64	100	cavi	0.0310000000000006	-0.0958336749310073	5.00424902233858	9.83379870320398	18.8511563244867
65	100	gibbs	8.03	-0.470821777624453	4.77914172802939	10.0645184952849	19.8564030722976
65	100	cavi	0.0299999999999994	-0.544712890265288	4.76904439344519	9.8731627310101	19.4924370357521
66	100	gibbs	8.028	-0.118990657204834	4.59805468640016	9.63302027349	19.2710724859834
66	100	cavi	0.0299999999999994	-0.273915244100488	4.60662767897102	9.96330970109925	19.4456961292044
67	100	gibbs	7.998	-0.518667789451285	4.00105899111941	9.94983208619259	19.1213926081109
67	100	cavi	0.0310000000000006	-0.39823259727675	4.41847956757453	9.67141015781453	18.9776923495535
68	100	gibbs	7.994	0.48290451873711	4.37391568335241	9.57580540126803	19.0683315760027
68	100	cavi	0.032	0.187207042039975	4.63202559618375	9.50892228123772	19.0195881028805
69	100	gibbs	8.024	-0.112631314803251	4.80321794931135	9.2857891825203	19.427896853337
69	100	cavi	0.0310000000000006	-0.06023511201615	4.73677999915772	9.2926071388618	19.2268350529886
70	100	gibbs	8.047	0.0612948584576877	4.93680011947421	9.71900236477577	19.2676692509453
70	100	cavi	0.032	0.111925535950883	4.7751018818606	9.77250174462742	19.2826212582936
71	100	gibbs	8.153	0.0308329609045652	4.2885103530898	9.87365093922071	19.6190077973392
71	100	cavi	0.0310000000000006	0.226207393123104	4.64158172153316	9.64556106788409	19.5382784329342
72	100	gibbs	8.026	0.234365443752017	5.06777299425859	10.0495612552443	19.6115239318033
72	100	cavi	0.0309999999999988	0.146956386875666	4.61817918436579	9.74663689350926	19.4719175894306
73	100	gibbs	8.019	-0.170561996199553	4.42088060250531	9.96005569662395	19.639938625026
73	100	cavi	0.0309999999999988	0.071699769368434	4.43062404789168	9.95415682839763	19.3366039698472
74	100	gibbs	8.011	0.301604958295739	4.68233152221884	9.28392448718395	19.3285875338096
74	100	cavi	0.0340000000000007	0.349415107000302	4.51288296147328	9.16566399955458	19.4201662869365
75	100	gibbs	8.078	0.289628526378282	5.12905501469663	9.264556736038	19.5126042741698
75	100	cavi	0.0299999999999994	0.186808738596041	4.93420766359989	9.25650244007399	19.4116194493743
76	100	gibbs	7.992	-0.162797351156518	4.90475310211628	9.36946352150088	19.5941998398809
76	100	cavi	0.0329999999999995	0.316797327653988	5.06999844228484	9.6097539352538	19.4487111057929
77	100	gibbs	7.993	0.188981170047621	4.95773972173624	9.25408944803975	18.6755763224616
77	100	cavi	0.032	0.140148821201249	4.97265791878302	9.52762236386709	18.6531846582605
78	100	gibbs	8.006	-0.0246006235285512	5.03493723335474	9.67941710944515	18.8182689759839
78	100	cavi	0.032	0.052378098263257	4.87028660039941	9.58207992430478	18.8384374024189
79	100	gibbs	8.001	0.151735033292068	4.74175876582443	9.16185176017988	19.4354414419555
79	100	cavi	0.0330000000000013	0.220177441602673	4.56142670519849	9.12492115411008	19.4037332710903
80	100	gibbs	7.999	-0.235113432998284	4.96455642926996	9.2364111487205	19.2596783036205
80	100	cavi	0.032	0.174026557060402	4.66188346026216	9.47250884314797	19.2021238628161
81	100	gibbs	8.016	-0.194705654416418	4.66304629714572	9.97995168907812	19.274407300403
81	100	cavi	0.032	-0.238753672233057	4.8297595974671	9.57885998624145	19.3016991373597
82	100	gibbs	7.995	-0.0482008795660426	5.09954530075289	9.65921309494849	19.2645308826476
82	100	cavi	0.032	-0.0427991311222204	4.88500295404872	9.76306628691414	19.5747317645013
83	100	gibbs	7.999	0.315629340990055	4.7492453156569	9.98930338629223	18.3207334539486
83	100	cavi	0.0310000000000006	0.0467136401676083	4.76815125882312	9.75262454511059	18.5561879608123
